,Address,Beds_Min,Beds_Max,Baths_Min,Baths_Max,Sqft_Min,Sqft_Max,Lat,Lon,Distance,Rent,Rent_max,Neighborhood,City,Walk Score,Transit Score,Bike Score,Population
128,1777 N Williams St Apt 301,0,0,1.0,1.0,N/A,N/A,39.744613,-104.966342,1.9196508361606408,1035,1035,City Park West,City Park West,85.0,55.0,95.0,4854.0
129,1259 Albion St,1,2,1.0,1.0,650,850,39.735786,-104.939814,1.924982957601774,1125,1300,Hale,Hale,71.0,48.0,77.0,6942.0
130,1001 E Bayaud Ave,0,2,1.0,2.0,421,1131,39.715078,-104.975039,1.937215386920301,1331,3328,Speer,Speer,85.0,55.0,95.0,10957.0
131,1285 N Albion St Unit 303,1,1,1.0,1.0,N/A,N/A,39.736196,-104.939815,1.9456686812536161,1385,1385,Hale,Hale,71.0,48.0,77.0,6942.0
132,1285 N Albion St Unit 205,1,1,1.0,1.0,N/A,N/A,39.736196,-104.939815,1.9456686812536161,1305,1305,Hale,Hale,71.0,48.0,77.0,6942.0
133,1285 N Albion St Unit 102,3,3,2.0,2.0,N/A,N/A,39.736197,-104.939814,1.945796100215854,1995,1995,Hale,Hale,71.0,48.0,77.0,6942.0
134,45 S Ogden St,2,2,1.0,1.0,N/A,N/A,39.715691,-104.976052,1.9471977673028944,1895,1895,Broadway View,,,,,
135,88 N Washington St Unit 4,1,1,1.0,1.0,N/A,N/A,39.718135,-104.978935,1.9639321097527356,1335,1335,Speer,Speer,85.0,55.0,95.0,10957.0
136,4210 E 11th Ave,0,3,1.0,2.0,378,1588,39.732722,-104.937804,1.9643731758617167,1340,3922,Hale,Hale,71.0,48.0,77.0,6942.0
137,77 S Ogden St,0,2,1.0,2.0,414,900,39.715164,-104.976057,1.9893733152453985,1210,1835,Broadway View,,,,,
138,150 S Madison St Unit 101,2,2,2.0,2.0,N/A,N/A,39.713664,-104.945834,2.0066492406077723,2800,2800,Burlington Capitol Hill,,,,,
139,4300 E 9th Ave,0,3,1.0,3.0,538,1467,39.73021,-104.93664,2.0087244985539616,1435,2255,Hale,Hale,71.0,48.0,77.0,6942.0
140,1899 Gaylord St,1,1,1.0,1.0,500,500,39.746527,-104.961356,2.056680519661177,1150,1150,City Park West,City Park West,85.0,55.0,95.0,4854.0
